WelcomeContinue.keys,WelcomeContinue.rt,ICContinue1.keys,ICContinue1.rt,ICContinue2.keys,ICContinue2.rt,participant,session,date,expName,psychopyVersion,frameRate,
space,6.794700420989102,,,,,,001,2019_Mar_25_1731,AggPrototype,3.0.4,59.82563919505456,
,,space,4.503152678165861,,,,001,2019_Mar_25_1731,AggPrototype,3.0.4,59.82563919505456,
,,,,return,18.31270332809254,,001,2019_Mar_25_1731,AggPrototype,3.0.4,59.82563919505456,
